DATAFLOW,FREQ,CLIMATE_CHANGE_INDICATORS,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,ERROR_TYPE,ERROR_VAL,REPORTING_TYPE,OBS_COMMENT
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1921,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1922,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1923,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1924,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1925,2,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1926,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1927,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1928,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1929,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1930,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1931,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1932,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1933,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1934,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1935,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1936,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1937,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1938,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1939,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1940,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1941,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1942,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1943,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1944,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1945,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1946,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1947,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1948,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1949,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1950,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1951,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1952,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1953,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1954,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1955,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1956,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1957,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1958,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1959,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1960,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1961,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1962,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1963,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1964,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1965,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1966,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1967,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1968,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1969,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1970,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1971,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1972,3,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1973,4,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1974,5,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1975,5,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1976,5,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1977,5,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1978,5,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1979,8,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1980,8,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1981,8,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1982,8,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1983,8,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1984,8,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1985,9,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1986,9,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1987,10,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1988,10,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1989,14,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1990,16,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1991,16,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1992,18,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1993,19,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1994,20,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1995,22,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1996,22,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1997,22,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1998,22,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,1999,23,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2000,24,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2001,25,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2002,28,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2003,31,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2004,35,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2005,35,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2006,38,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2007,39,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2008,42,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2009,46,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2010,50,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2011,50,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2012,52,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2013,54,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2014,57,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2015,58,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2016,61,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2017,65,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2018,67,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2019,67,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2020,71,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2021,73,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2022,76,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2023,76,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2024,77,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2025,77,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,FISH_MNGT_MULT_BILAT_ARGMT,TO,2026,77,,N,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,1992,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,1993,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,1994,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,1995,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,1996,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,1997,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,1998,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,1999,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2000,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2001,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2002,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2003,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2004,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2005,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2006,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2007,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2008,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2009,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2010,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2011,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2012,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2013,71,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2014,100,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2015,100,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2016,101.6,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2017,101.6,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2018,101.6,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2019,101.6,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2020,111.2,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2021,111.3,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ALT_LAND_COVER,PW,2022,111.3,,PERCENT,,,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1850,0,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1851,-0.4,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1852,-0.1,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1853,0.1,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1854,-0.1,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1855,-0.3,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1856,-0.3,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1857,-0.4,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1858,-0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1859,0.1,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1860,-0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1861,-0.5,,CELSIUS,SE,0.2,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1862,-0.3,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1863,-0.3,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1864,-0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1865,-0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1866,-0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1867,-0.1,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1868,-0.1,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1869,0,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1870,-0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1871,0.1,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1872,0,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1873,-0.3,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1874,0,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1875,-0.2,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1876,-0.1,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1877,-0.2,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1878,-0.2,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1879,-0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1880,-0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1881,0.2,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1882,0.1,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1883,-0.3,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1884,-0.3,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1885,-0.5,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1886,-0.5,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1887,-0.3,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1888,-0.3,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1889,-0.3,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1890,-0.5,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1891,-0.4,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1892,-0.3,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1893,-0.6,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1894,-0.4,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1895,-0.2,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1896,-0.4,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1897,-0.3,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1898,-0.3,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1899,-0.2,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1900,-0.1,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1901,-0.1,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1902,-0.6,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1903,-0.4,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1904,-0.6,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1905,-0.5,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1906,-0.4,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1907,-0.5,,CELSIUS,SE,0.1,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1908,-0.6,,CELSIUS,SE,0,N,
SPC:DF_CLIMATE_CHANGE(1.0),A,ST_ANOM,WF,1909,-0.7,,CELSIUS,SE,0.1,N,
